Transaction Date,Debit,,Debit,,Semester average,,
3/31/25,,,9.99,,26.87326087,,824.1133333
3/31/25,,,4.59,,26.87326087,,
3/31/25,,,23.79,,26.87326087,,
3/30/25,,,7.88,,26.87326087,,
3/29/25,,,192.84,,26.87326087,,
3/29/25,,,9.99,,26.87326087,,
3/28/25,,,6.49,,26.87326087,,
3/28/25,,,14.07,,26.87326087,,
3/26/25,,,6.49,,26.87326087,,
3/26/25,,,5.99,,26.87326087,,
3/26/25,,,19.11,,26.87326087,,
3/26/25,,,21.34,,26.87326087,,
3/25/25,,,38.73,,26.87326087,,
3/25/25,,,19.47,,26.87326087,,
3/24/25,,,15.2,,26.87326087,,
3/21/25,,,15.24,,26.87326087,,
3/22/25,,,4.29,,26.87326087,,
3/21/25,,,4.59,,26.87326087,,
3/20/25,,,15.97,,26.87326087,,
3/17/25,,,5.99,,26.87326087,,
3/16/25,,,1.49,,26.87326087,,
3/16/25,,,4.59,,26.87326087,,
3/15/25,,,106.74,,26.87326087,,
3/13/25,,,8.17,,26.87326087,,
3/13/25,,,4.59,,26.87326087,,
3/12/25,,,19.97,,26.87326087,,
3/12/25,,,7.98,,26.87326087,,
3/12/25,,,4.59,,26.87326087,,
3/10/25,,,53.47,,26.87326087,,
3/9/25,,,11.48,,26.87326087,,
2/28/25,,,23.87,,26.87326087,,
2/27/25,,,5.49,,26.87326087,,
2/26/25,,,12.48,,26.87326087,,
2/25/25,,,12.48,,26.87326087,,
2/22/25,,,5.99,,26.87326087,,
2/21/25,,,32.03,,26.87326087,,
2/22/25,,,5.49,,26.87326087,,
2/18/25,,,5.99,,26.87326087,,
2/17/25,,,4.77,,26.87326087,,
2/17/25,,,4.59,,26.87326087,,
2/14/25,,,47.47,,26.87326087,,
2/13/25,,,8.99,,26.87326087,,
2/13/25,,,12.48,,26.87326087,,
2/12/25,,,32.24,,26.87326087,,
2/10/25,,,11.98,,26.87326087,,
2/10/25,,,209.63,,26.87326087,,
2/9/25,,,37.85,,26.87326087,,
2/6/25,,,7.99,,26.87326087,,
2/5/25,,,5.99,,26.87326087,,
2/5/25,,,11.98,,26.87326087,,
2/5/25,,,51.79,,26.87326087,,
2/5/25,,,4.59,,26.87326087,,
2/4/25,,,52.51,,26.87326087,,
2/3/25,,,7.18,,26.87326087,,
1/31/25,,,232.46,,26.87326087,,
2/1/25,,,30,,26.87326087,,
2/1/25,,,5.48,,26.87326087,,
1/30/25,,,6.49,,26.87326087,,
1/30/25,,,14.77,,26.87326087,,
1/29/25,,,7,,26.87326087,,
1/29/25,,,8.68,,26.87326087,,
1/29/25,,,9.55,,26.87326087,,
1/28/25,,,100.14,,26.87326087,,
1/27/25,,,29.95,,26.87326087,,
1/26/25,,,3.69,,26.87326087,,
1/26/25,,,4.59,,26.87326087,,
1/25/25,,,57.35,,26.87326087,,
1/24/25,,,66.32,,26.87326087,,
1/24/25,,,5.99,,26.87326087,,
1/24/25,,,9.18,,26.87326087,,
